timestamp,curIn,curOut,amount,txid
1512066111.16,ETH,LTC,1.07282245359,287818
1512097372.6,ETH,EOS,0.03318222,79104
1508570543.54,ETH,BTC,0.07654698,
1509994901.87,MONA,BTC,18.849,
1512071638.84,LTC,BTC,0.68108,49920
1510105336.71,ETC,BTC,74.30875074,
1510564822.62,LTC,OMG,5,
1511513867.41,ETH,BTC,5.88659362,
1507346954.58,BTC,EOS,0.00693764
1512213299.59,DASH,ETH,0.01,63528
1512143561.51,BTC,CVC,0.00856193,747393
1510496500.26,ETH,BTC,0.6405,
1507275461.74,BTC,ANT,0.01134389,
1511925769.9,DGB,BCH,71330,799709
1511023461.49,ETH,BTC,14,
1507315105.48,ZEC,BTC,0.06680449,
1512103483.87,ETH,DASH,0.45,740267
1511836493.35,ETH,GNO,0.02063904,661646
1512064774.88,ETH,DASH,3,851970
1511760022.87,LTC,BTC,13.99981862,342526
1512185638.56,LTC,ETH,0.09805285,72169
1511948075.82,ETH,BCH,0.09871128,737984
1512219601.53,ETH,ETC,0.12836311,482587
1512013958.84,SNT,OMG,266.61218467,160510
1511888779.77,ETH,ZEC,0.2,250727
1507295023.1,GNT,ZEC,79.10891892,
1508990418.39,ETH,LTC,0.999832,
1512074077.8,LTC,FUN,0.30789057,987116
1512130549.87,ETH,BTC,0.4689149,463973
1510110384.01,OMG,DCR,7.06436421,
1511929638.99,ETH,BTC,1.17,597119
1512071978.5,LTC,ETC,1.28834804,678044
1509929642.08,BLK,DGB,34,
1511843696.96,ETH,DGB,0.2,271653
1511810773.92,ETH,BTC,1.89458,242856
1507614880.61,BTC,ETH,1,
1512062875.6,GNT,ETH,185.90222415,485280
1512107178.05,GNT,LTC,14561.0468209,417497
1507448851.69,DASH,BTC,0.66185336,
1508667627.64,BTC,ETH,0.03040629,
1512232850.74,LTC,VTC,10,658471
1508207153.56,BTC,ETH,0.13107852,
1512217402.5,ETH,BTC,0.09,780470
1508698219.54,ETH,OMG,0.08950548,
1511651625.56,MONA,ETC,16.64,239495
1512123781.28,ETH,BTC,0.52143684,956165
1511842154.67,ETH,BTC,0.30212163,640465
1511445508.97,ETH,DNT,0.07579969,
1511213077.21,ETH,XMR,0.29963021,
1512173515.58,LTC,BTC,0.16174687,598214
1511726221.12,ANT,GNT,33.73760596,698554
1511127389.14,BTC,ETH,0.015,
1509496017.88,GNT,OMG,750,
1511817259.22,ETH,BTC,1,740733,
1512102390.53,ETH,DASH,0.86079996,733080
1512145693.4,ETH,BTC,1.21980752,665149
